title,description,publisher,developer,age,effective_date,platforms,price
Bad North,Bad North Jotunn Edition,Raw Fury,,,2019-11-21T16:00:00.000Z,"Windows,Mac",$14.99
Red Dead Redemption 2,Red Dead Redemption 2,Raw Fury,,18.0,2019-11-04T05:00:00.000Z,Windows,$59.99
Surviving Mars,Surviving Mars,Paradox Interactive AB,,12.0,2019-10-10T15:00:00.000Z,"Windows,Mac",$29.99
Minit,Minit,Devolver Digital,,,2019-10-03T15:00:00.000Z,"Windows,Mac",$9.99
Conarium,Conarium,Iceberg Interactive,,,2019-09-11T05:00:00.000Z,Windows,$19.99
Ooblets,Ooblets,Iceberg Interactive,,,2099-01-01T00:00:00.000Z,Windows,0
Celeste,Celeste,Iceberg Interactive,,,2019-08-29T15:00:00.000Z,"Windows,Mac",$19.99
Fez,Fez,Iceberg Interactive,,,2019-08-22T00:00:00.000Z,"Windows,Mac,Win32",$9.99
For Honor,For Honor Standard Edition,Iceberg Interactive,,18.0,2019-08-02T00:00:00.000Z,Windows,$39.99
Overcooked,Overcooked,team17,,,2019-07-04T00:00:00.000Z,Windows,$16.99
Limbo,Limbo,team17,,,2019-07-18T14:59:00.000Z,"Windows,Win32",$9.99
Last Day of June,Last Day of June,505 Games,,,2019-06-21T14:59:00.000Z,Windows,$19.99
Gods & Monsters,Gods & Monsters - Standard Edition,505 Games,,18.0,2019-06-14T00:00:00.000Z,Windows,$59.99
Rebel Galaxy,Rebel Galaxy,505 Games,,12.0,2019-06-20T15:00:00.000Z,Windows,$19.99
Omen of Sorrow,Omen of Sorrow,505 Games,,,2019-06-19T15:00:00.000Z,Windows,$19.99
The Sojourn,The Sojourn,Iceberg Interactive,,,2019-09-13T00:00:00.000Z,Windows,$24.99
Enter The Gungeon,Enter the Gungeon,Devolver Digital,,12.0,2019-06-13T15:00:00.000Z,"Windows,Mac",$14.99
Anno 1800,ANNO 1800 Standard Edition,Ubisoft,,12.0,2019-05-29T18:11:00.000Z,Windows,$59.99
Ghostbusters: The Video Game Remastered,Ghostbusters: The Video Game Remastered,Ubisoft,,,2019-10-03T12:00:00.000Z,Windows,$24.99
Layers of Fear,Layers of Fear,"Aspyr Media, Inc.",,18.0,2019-10-24T15:00:00.000Z,"Windows,Mac",$22.99
Stories Untold,Stories Untold,Devolver Digital,,18.0,2019-05-15T11:00:00.000Z,"Windows,Mac",$9.99
Detroit: Become Human,Detroit: Become Human,Devolver Digital,,18.0,2019-12-11T13:00:00.000Z,Windows,$39.99
John Wick Hex,John Wick Hex,Good Shepherd Games,,,2019-10-07T17:00:00.000Z,"Windows,Mac",$19.99
Human Resource Machine,Human Resource Machine,Good Shepherd Games,,,2019-05-13T08:00:00.000Z,"Windows,Mac",$14.99
7 Billion Humans,7 Billion Humans,Good Shepherd Games,,,2019-05-13T08:00:00.000Z,"Windows,Mac",$14.99
The Pathless,The Pathless,Annapurna Interactive,,,2050-05-13T08:00:00.000Z,"Windows,Mac",$29.99
>observer_,>observer_,"Aspyr Media, Inc.",,18.0,2019-10-17T15:00:00.000Z,"Windows,Mac",$29.99
World of Goo,World of Goo,"Aspyr Media, Inc.",,,2019-05-01T15:00:00.000Z,"Windows,Mac",$14.99
Dauntless,Dauntless,"Aspyr Media, Inc.",,,2019-04-30T16:00:00.000Z,Windows,0
Drawful 2,Drawful 2,"Aspyr Media, Inc.",,,2019-02-07T14:22:00.000Z,Jackbox Games,$9.99
The Jackbox Party Pack 5,Jackbox Party Pack 5,"Aspyr Media, Inc.",,,2019-02-07T16:00:00.000Z,"Windows,Mac",$29.99
The Jackbox Party Pack 4,Jackbox Party Pack 4,"Aspyr Media, Inc.",,,2019-02-07T16:00:00.000Z,"Windows,Mac",$24.99
The Jackbox Party Pack 3,Jackbox Party Pack 3,"Aspyr Media, Inc.",,,2019-02-07T16:00:00.000Z,"Windows,Mac",$24.99
The Jackbox Party Pack 2,Jackbox Party Pack 2,"Aspyr Media, Inc.",,,2019-02-07T16:00:00.000Z,"Windows,Mac",$24.99
Shakedown Hawaii,Shakedown Hawaii,"Aspyr Media, Inc.",,,2019-05-02T15:23:00.000Z,"Windows,Win32",$19.99
Transistor,Transistor,"Aspyr Media, Inc.",,12.0,2019-04-18T15:00:00.000Z,"Windows,Mac,Win32",$19.99
Heavy Rain,Heavy Rain,"Aspyr Media, Inc.",,18.0,2019-06-20T13:00:00.000Z,Windows,$19.99
Beyond: Two Souls,Beyond: Two Souls,"Aspyr Media, Inc.",,18.0,2019-07-19T13:00:00.000Z,Windows,$19.99
The Cycle,The Cycle,"Aspyr Media, Inc.",,,2019-07-04T03:00:00.000Z,,0
Trover Saves the Universe,Trover Saves the Universe,"Aspyr Media, Inc.",,18.0,2019-06-03T13:00:00.000Z,Windows,$29.99
Observation,Observation,Devolver Digital,,18.0,2019-03-24T18:00:00.000Z,Windows,$24.99
Control,Control,505 Games,,18.0,2019-08-26T00:00:00.000Z,Windows,$59.99
The Walking Dead: Michonne,The Walking Dead: Michonne,Skybound Games,,,2019-03-24T16:00:00.000Z,Windows,$14.99
The Witness,The Witness,"Thekla, Inc.",,,2019-04-04T15:00:00.000Z,"Windows,Mac,Win32",$39.99
The Sinking City,The Sinking City Standard Edition,Bigben Interactive,,18.0,2019-06-21T12:00:00.000Z,Windows,$59.99
Watch Dogs 2,Watch Dogs 2,Bigben Interactive,,18.0,2019-05-06T12:00:00.000Z,Windows,$59.99
Tom Clancy's Ghost Recon Wildlands,Tom Clancy's Ghost Recon® Wildlands Standard Edition,Bigben Interactive,,18.0,2019-05-06T12:00:00.000Z,Windows,$39.99
Afterparty,Afterparty,Bigben Interactive,,,2019-10-29T12:00:00.000Z,"Windows, Mac",$19.99
Phoenix Point,Phoenix Point,Bigben Interactive,,18.0,2019-12-02T18:00:00.000Z,"Windows,Mac",$39.99
Operencia: The Stolen Sun,Operencia: The Stolen Sun,Bigben Interactive,,,2019-03-27T08:00:00.000Z,Windows,$29.99
RollerCoaster Tycoon Adventures,RollerCoaster Tycoon Adventures,Atari,,,2019-03-19T15:00:00.000Z,Windows,$29.99
Oxenfree,Oxenfree,Atari,,,2019-03-20T15:00:00.000Z,"Windows,Mac",$9.99
Satisfactory,Satisfactory Early Access,Atari,,,2019-03-05T14:00:00.000Z,Windows,$29.95
Outward,Outward,Deep Silver,,18.0,2019-03-25T20:00:00.000Z,Windows,$39.99
Dangerous Driving,Dangerous Driving,Deep Silver,,,2019-04-08T20:00:00.000Z,Windows,$29.99
Slime Rancher,Slime Rancher,Deep Silver,,,2019-03-07T16:00:00.000Z,"Windows,Mac,Win32",$19.99
World War Z,Wombat GOTY,Deep Silver,,18.0,2020-05-04T16:00:00.000Z,Windows,$44.99
